cells_per_metacell,min_metacells,seed,cell_type,gene,rho
15,10,42,hepatocyte,CYP2C8,0.7606107483584809
15,10,42,hepatocyte,CYP2C9,0.8274859547316963
15,10,42,hepatocyte,CYP1A2,0.5157713086979394
15,10,42,hepatocyte,CYP7A1,0.41911507326896663
15,10,42,hepatocyte,UGT1A1,0.11970533840090496
15,10,42,hepatocyte,UGT1A6,0.158759874210172
15,10,42,hepatocyte,SULT2A1,0.6086744662998687
15,10,42,hepatocyte,GSTA1,-0.03827297509400384
15,10,42,hepatocyte,GSTA2,0.07205861972189764
15,10,42,hepatocyte,ABCB1,0.6170996346846827
15,10,42,hepatocyte,ABCC2,0.804043979132172
15,10,42,hepatocyte,ABCC3,0.7012509811434028
15,10,42,hepatocyte,SLCO1B1,0.7720804407578936
15,10,42,hepatocyte,G6PC1,0.6623905259682998
15,10,42,hepatocyte,PCK1,0.6094697126978633
15,10,42,hepatocyte,CPT1A,0.6705924133820482
15,10,42,hepatocyte,NFKB1,0.5926462846669515
15,10,42,intestinal crypt stem cell,CYP3A4,0.24853222005987688
15,10,42,intestinal crypt stem cell,CYP3A5,0.4298005166947771
15,10,42,intestinal crypt stem cell,CYP2B6,0.19429289340685416
15,10,42,intestinal crypt stem cell,CYP2C8,0.13327456356821835
15,10,42,intestinal crypt stem cell,CYP2C9,0.232935115783074
15,10,42,intestinal crypt stem cell,CYP1A2,
15,10,42,intestinal crypt stem cell,CYP7A1,
15,10,42,intestinal crypt stem cell,UGT1A1,-0.03851850446554581
15,10,42,intestinal crypt stem cell,UGT1A6,0.08298227542926802
15,10,42,intestinal crypt stem cell,SULT2A1,0.03438174784629786
15,10,42,intestinal crypt stem cell,GSTA1,0.34375635861508724
15,10,42,intestinal crypt stem cell,GSTA2,0.196448029627563
15,10,42,intestinal crypt stem cell,ABCB1,0.3888744804397249
15,10,42,intestinal crypt stem cell,ABCC2,0.0538072059727457
15,10,42,intestinal crypt stem cell,ABCC3,0.34906777285401247
15,10,42,intestinal crypt stem cell,SLCO1B1,
15,10,42,intestinal crypt stem cell,G6PC1,0.11023943477158463
15,10,42,intestinal crypt stem cell,PCK1,0.3727621800878082
15,10,42,intestinal crypt stem cell,CPT1A,0.3173931142405982
15,10,42,intestinal crypt stem cell,NFKB1,0.2668144518636473
15,10,42,macrophage,CYP3A4,0.11555040472629519
15,10,42,macrophage,CYP3A5,0.07725731845143739
15,10,42,macrophage,CYP2B6,0.0887237015326904
15,10,42,macrophage,CYP2C8,0.07349906585064166
15,10,42,macrophage,CYP2C9,0.10585309048695646
15,10,42,macrophage,CYP1A2,0.11244600816142601
15,10,42,macrophage,CYP7A1,-0.00428277529973729
15,10,42,macrophage,UGT1A1,0.20750642173623104
15,10,42,macrophage,UGT1A6,0.0848631266967928
15,10,42,macrophage,SULT2A1,0.05004271119147964
15,10,42,macrophage,GSTA1,-0.01208780611973674
15,10,42,macrophage,GSTA2,0.01287217964260266
15,10,42,macrophage,ABCB1,0.041399308804648115
15,10,42,macrophage,ABCC2,0.08499124207793089
15,10,42,macrophage,ABCC3,-0.010147555238124883
15,10,42,macrophage,SLCO1B1,0.06294019699838783
15,10,42,macrophage,G6PC1,0.07041656845218305
15,10,42,macrophage,PCK1,0.07809044573293093
15,10,42,macrophage,CPT1A,-0.05370715887310974
15,10,42,macrophage,NFKB1,-0.05245577693303941
15,10,42,monocyte,CYP3A4,0.08541788450504255
15,10,42,monocyte,CYP3A5,0.12702263960385307
15,10,42,monocyte,CYP2B6,0.08319648998548984
15,10,42,monocyte,CYP2C8,0.07293893894066447
15,10,42,monocyte,CYP2C9,0.07431101463663554
15,10,42,monocyte,CYP1A2,0.06907453996942642
15,10,42,monocyte,CYP7A1,0.013874496417981792
15,10,42,monocyte,UGT1A1,0.15878496046383275
15,10,42,monocyte,UGT1A6,0.035122921555839744
15,10,42,monocyte,SULT2A1,0.10641231956707463
15,10,42,monocyte,GSTA1,0.010121971945747809
15,10,42,monocyte,GSTA2,-0.0005472138237484276
15,10,42,monocyte,ABCB1,0.03006420134222642
15,10,42,monocyte,ABCC2,0.14174379309295382
15,10,42,monocyte,ABCC3,0.012481507536769892
15,10,42,monocyte,SLCO1B1,0.0760865584301191
15,10,42,monocyte,G6PC1,0.09078237216823096
15,10,42,monocyte,PCK1,0.08850586199723283
15,10,42,monocyte,CPT1A,-0.041745119234465555
15,10,42,monocyte,NFKB1,-0.03632423171969041
15,10,42,natural killer cell,CYP3A4,0.11900119620903919
15,10,42,natural killer cell,CYP3A5,0.11134516490698805
15,10,42,natural killer cell,CYP2B6,0.11482309087852614
15,10,42,natural killer cell,CYP2C8,0.09724744248659153
15,10,42,natural killer cell,CYP2C9,0.10501323078697107
15,10,42,natural killer cell,CYP1A2,0.1255538107743943
15,10,42,natural killer cell,CYP7A1,0.020251061488635026
15,10,42,natural killer cell,UGT1A1,0.06829759187410138
