iteration,cell_type,gene,rho
1,hepatocyte,GSTA1,-0.09914158109369398
1,hepatocyte,GSTA2,0.048368690970479834
1,hepatocyte,ABCB1,0.7176999846467897
1,hepatocyte,ABCC2,0.8509105492922512
1,hepatocyte,ABCC3,0.7715113047775433
1,hepatocyte,SLCO1B1,0.8319419299809246
1,hepatocyte,G6PC1,0.7405711913991866
1,hepatocyte,PCK1,0.6870947602817248
1,hepatocyte,CPT1A,0.7555471362542251
1,hepatocyte,NFKB1,0.6806805835093769
1,intestinal crypt stem cell,CYP3A4,0.5269856453442959
1,intestinal crypt stem cell,CYP3A5,0.6476086221667972
1,intestinal crypt stem cell,CYP2B6,0.6692073204682709
1,intestinal crypt stem cell,CYP2C8,
1,intestinal crypt stem cell,CYP2C9,0.540394841431655
1,intestinal crypt stem cell,CYP1A2,
1,intestinal crypt stem cell,CYP7A1,
1,intestinal crypt stem cell,UGT1A1,0.209353929700612
1,intestinal crypt stem cell,UGT1A6,0.06438174900272184
1,intestinal crypt stem cell,SULT2A1,0.3516168520079007
1,intestinal crypt stem cell,GSTA1,0.4908951821915348
1,intestinal crypt stem cell,GSTA2,0.34009876246945964
1,intestinal crypt stem cell,ABCB1,0.580372446231966
1,intestinal crypt stem cell,ABCC2,-0.00621165681890852
1,intestinal crypt stem cell,ABCC3,0.6335312183315814
1,intestinal crypt stem cell,SLCO1B1,
1,intestinal crypt stem cell,G6PC1,0.06479484288981248
1,intestinal crypt stem cell,PCK1,0.47887195913172104
1,intestinal crypt stem cell,CPT1A,0.6566412225798365
1,intestinal crypt stem cell,NFKB1,0.6168741552468548
1,macrophage,CYP3A4,0.18690045660423069
1,macrophage,CYP3A5,0.12238905052560668
1,macrophage,CYP2B6,0.12347592654093516
1,macrophage,CYP2C8,0.13054489732265293
1,macrophage,CYP2C9,0.14935663832349616
1,macrophage,CYP1A2,0.13215556407031828
1,macrophage,CYP7A1,-0.012981816407282912
1,macrophage,UGT1A1,0.20509725280342653
1,macrophage,UGT1A6,0.0793643231252726
1,macrophage,SULT2A1,0.11241556430715323
1,macrophage,GSTA1,0.0038324932079529784
1,macrophage,GSTA2,0.040049893452528296
1,macrophage,ABCB1,0.04618172173899248
1,macrophage,ABCC2,0.12825750786509393
1,macrophage,ABCC3,-0.02658547140187204
1,macrophage,SLCO1B1,0.116617329500653
1,macrophage,G6PC1,0.10306789899322674
1,macrophage,PCK1,0.1651187429666527
1,macrophage,CPT1A,-0.07237736511984309
1,macrophage,NFKB1,-0.07416543137272702
1,monocyte,CYP3A4,0.24419566901966014
1,monocyte,CYP3A5,0.20474673211905992
1,monocyte,CYP2B6,0.17045891576632266
1,monocyte,CYP2C8,0.18013085725512684
1,monocyte,CYP2C9,0.16309497856169106
1,monocyte,CYP1A2,0.13830740449238954
1,monocyte,CYP7A1,0.016668246989020988
1,monocyte,UGT1A1,0.21677884148703944
1,monocyte,UGT1A6,0.05280630367695268
1,monocyte,SULT2A1,0.18124501683214925
1,monocyte,GSTA1,0.055080493372936155
1,monocyte,GSTA2,0.03433654152648814
1,monocyte,ABCB1,0.066883114255721
1,monocyte,ABCC2,0.22598879911439934
1,monocyte,ABCC3,0.0429499197578656
1,monocyte,SLCO1B1,0.1569312644506407
1,monocyte,G6PC1,0.1763544447103155
1,monocyte,PCK1,0.16034414978018058
1,monocyte,CPT1A,-0.020809050223487616
1,monocyte,NFKB1,-0.05511942965400844
1,natural killer cell,CYP3A4,0.12876718432877227
1,natural killer cell,CYP3A5,0.1279687075731581
1,natural killer cell,CYP2B6,0.1364097015398747
1,natural killer cell,CYP2C8,0.11183105157048526
1,natural killer cell,CYP2C9,0.13062739225542233
1,natural killer cell,CYP1A2,0.22628091419910784
1,natural killer cell,CYP7A1,0.02243890391254849
1,natural killer cell,UGT1A1,0.09697203503100087
1,natural killer cell,UGT1A6,0.0676288674799114
1,natural killer cell,SULT2A1,0.11289184433433047
1,natural killer cell,GSTA1,0.015107788286366367
1,natural killer cell,GSTA2,0.020420302701055864
1,natural killer cell,ABCB1,0.00543267583179899
1,natural killer cell,ABCC2,0.15589702890167942
1,natural killer cell,ABCC3,0.08248389106471071
1,natural killer cell,SLCO1B1,0.1639702770326779
1,natural killer cell,G6PC1,0.16219890006871704
1,natural killer cell,PCK1,0.07250689761134765
1,natural killer cell,CPT1A,-0.032997227562872884
1,natural killer cell,NFKB1,-0.010875565865217918
2,"CD4-positive, alpha-beta T cell",CYP3A4,0.17441765578509985
2,"CD4-positive, alpha-beta T cell",CYP3A5,0.21679098286656925
2,"CD4-positive, alpha-beta T cell",CYP2B6,0.23504911412141125
2,"CD4-positive, alpha-beta T cell",CYP2C8,0.17297408375803583
2,"CD4-positive, alpha-beta T cell",CYP2C9,0.2543092882088347
2,"CD4-positive, alpha-beta T cell",CYP1A2,0.02634026779363509
2,"CD4-positive, alpha-beta T cell",CYP7A1,-0.010665410903209563
2,"CD4-positive, alpha-beta T cell",UGT1A1,0.06358415704348694
2,"CD4-positive, alpha-beta T cell",UGT1A6,0.036335381563393776
2,"CD4-positive, alpha-beta T cell",SULT2A1,0.18463409574981185
2,"CD4-positive, alpha-beta T cell",GSTA1,0.0012106108833170944
2,"CD4-positive, alpha-beta T cell",GSTA2,0.031233219137225307
2,"CD4-positive, alpha-beta T cell",ABCB1,0.04411406946021277
2,"CD4-positive, alpha-beta T cell",ABCC2,0.2203838966348929
2,"CD4-positive, alpha-beta T cell",ABCC3,0.22609372851053425
2,"CD4-positive, alpha-beta T cell",SLCO1B1,0.1216503056979526
2,"CD4-positive, alpha-beta T cell",G6PC1,0.12975962720355405
2,"CD4-positive, alpha-beta T cell",PCK1,0.14472999163129724
2,"CD4-positive, alpha-beta T cell",CPT1A,0.01798876155022867
2,"CD4-positive, alpha-beta T cell",NFKB1,0.04347201063367182
2,"CD8-positive, alpha-beta T cell",CYP3A4,0.03891023739226301
2,"CD8-positive, alpha-beta T cell",CYP3A5,0.04969896267049936
2,"CD8-positive, alpha-beta T cell",CYP2B6,0.05083917159729386
2,"CD8-positive, alpha-beta T cell",CYP2C8,0.0696075435780995
2,"CD8-positive, alpha-beta T cell",CYP2C9,0.08835275752288457
2,"CD8-positive, alpha-beta T cell",CYP1A2,0.05312300358949217
2,"CD8-positive, alpha-beta T cell",CYP7A1,0.051002238227430004
2,"CD8-positive, alpha-beta T cell",UGT1A1,0.06792112247023047
2,"CD8-positive, alpha-beta T cell",UGT1A6,0.0990902068901436
2,"CD8-positive, alpha-beta T cell",SULT2A1,0.06248985580542112
2,"CD8-positive, alpha-beta T cell",GSTA1,0.05348535940076937
2,"CD8-positive, alpha-beta T cell",GSTA2,0.04246862679739417
2,"CD8-positive, alpha-beta T cell",ABCB1,0.014449048737222572
2,"CD8-positive, alpha-beta T cell",ABCC2,0.02213632975716867
2,"CD8-positive, alpha-beta T cell",ABCC3,0.07387368775921206
2,"CD8-positive, alpha-beta T cell",SLCO1B1,0.06991298298421894
2,"CD8-positive, alpha-beta T cell",G6PC1,0.028888181515054314
2,"CD8-positive, alpha-beta T cell",PCK1,0.0024383676540853175
2,"CD8-positive, alpha-beta T cell",CPT1A,0.022513648745996977
2,"CD8-positive, alpha-beta T cell",NFKB1,0.0024928650963748646
2,enterocyte of epithelium of large intestine,CYP3A4,0.3113331775436322
2,enterocyte of epithelium of large intestine,CYP3A5,0.06859692032628066
2,enterocyte of epithelium of large intestine,CYP2B6,0.3496044025575507
2,enterocyte of epithelium of large intestine,CYP2C8,0.11204417739598808
2,enterocyte of epithelium of large intestine,CYP2C9,0.20443742551299285
2,enterocyte of epithelium of large intestine,CYP1A2,0.14727625252904156
2,enterocyte of epithelium of large intestine,CYP7A1,-0.0013321662498548235
2,enterocyte of epithelium of large intestine,UGT1A1,0.3674146984712823
2,enterocyte of epithelium of large intestine,UGT1A6,0.09698521196647933
2,enterocyte of epithelium of large intestine,SULT2A1,0.1460075258916127
2,enterocyte of epithelium of large intestine,GSTA1,0.12680147721271398
2,enterocyte of epithelium of large intestine,GSTA2,0.10895589399949462
2,enterocyte of epithelium of large intestine,ABCB1,0.36905665644199975
2,enterocyte of epithelium of large intestine,ABCC2,0.14075930875163606
2,enterocyte of epithelium of large intestine,ABCC3,-0.08236880013225827
2,enterocyte of epithelium of large intestine,SLCO1B1,0.07979675836630393
2,enterocyte of epithelium of large intestine,G6PC1,0.09179764472033684
2,enterocyte of epithelium of large intestine,PCK1,0.042572013945598224
2,enterocyte of epithelium of large intestine,CPT1A,0.06607694701419337
2,enterocyte of epithelium of large intestine,NFKB1,0.1340367480934986
2,enterocyte of epithelium of small intestine,CYP3A4,0.5382559774964838
2,enterocyte of epithelium of small intestine,CYP3A5,0.6848804500703236
2,enterocyte of epithelium of small intestine,CYP2B6,0.547567912221595
2,enterocyte of epithelium of small intestine,CYP2C8,0.1115291028921527
2,enterocyte of epithelium of small intestine,CYP2C9,0.4701593999062354
2,enterocyte of epithelium of small intestine,CYP1A2,
2,enterocyte of epithelium of small intestine,CYP7A1,0.06091615554105759
2,enterocyte of epithelium of small intestine,UGT1A1,0.42547558785683043
2,enterocyte of epithelium of small intestine,UGT1A6,0.10235661756793782
2,enterocyte of epithelium of small intestine,SULT2A1,0.41436341148492145
