cell_type,gene,mean,std,ci_low,ci_high,n_iter
monocyte,ABCC2,0.21836053797457242,0.02373797273755931,0.1780696767597178,0.26001641159947164,20
monocyte,ABCC3,0.014934189139726333,0.01844321649033291,-0.014603307170051502,0.05080904214369268,20
monocyte,CPT1A,-0.047414621745478065,0.018733364694805677,-0.07930992941228178,-0.020393415533179044,20
monocyte,CYP1A2,0.14462313226164022,0.027651314636423955,0.09751998701567226,0.18912431104960808,20
monocyte,CYP2B6,0.18277477229878977,0.020257609886677404,0.14550138991812964,0.20865279424971594,20
monocyte,CYP2C8,0.16279022972298737,0.016604381035211595,0.1409609901936858,0.19888273535845696,20
monocyte,CYP2C9,0.17349743906303,0.01814224178753005,0.1394105361714389,0.201482932344973,20
monocyte,CYP3A4,0.21899351090272373,0.02088039456032358,0.18429887677697915,0.25282327942449284,20
monocyte,CYP3A5,0.17880345224404345,0.019112137687466682,0.1462082955448395,0.2077023441336291,20
monocyte,CYP7A1,0.0014127854915069362,0.017682518992404157,-0.019786853848964264,0.028475088636018654,20
monocyte,G6PC1,0.1852408363596087,0.02274537621425309,0.1412041176209363,0.21664382563880288,20
